TimeUS,GPS_Alt,EKF_Lat,EKF_Lon,EKF_Alt
369487030,0.53,36.0757787,136.2132966,0.5399999618530273
369587033,0.53,36.0757787,136.2132966,0.5399999618530273
369687116,0.53,36.0757787,136.2132966,0.5399999618530273
369787069,0.53,36.0757787,136.2132966,0.5399999618530273
369887036,0.53,36.0757787,136.2132966,0.5399999618530273
369987057,0.53,36.0757787,136.2132966,0.5399999618530273
370087090,0.53,36.0757787,136.2132966,0.5399999618530273
370187075,0.53,36.0757787,136.2132966,0.5399999618530273
370287037,0.53,36.0757787,136.2132966,0.5299999713897705
370387068,0.53,36.0757787,136.2132966,0.5299999713897705
370487077,0.53,36.0757787,136.2132966,0.5299999713897705
370547269,0.53,36.0757787,136.2132966,0.5299999713897705
370687068,0.53,36.0757787,136.2132966,0.5299999713897705
370787096,0.53,36.0757787,136.2132966,0.5299999713897705
370887073,0.53,36.0757787,136.2132966,0.5299999713897705
370987031,0.53,36.0757787,136.2132966,0.5299999713897705
371067079,0.53,36.0757787,136.2132966,0.5299999713897705
371167064,0.53,36.0757787,136.2132966,0.5299999713897705
371287061,0.53,36.0757787,136.2132966,0.5299999713897705
371367083,0.53,36.0757787,136.2132966,0.5299999713897705
371467067,0.53,36.0757787,136.2132966,0.5199999809265137
371567088,0.53,36.0757787,136.2132966,0.5199999809265137
371687101,0.53,36.0757787,136.2132966,0.5199999809265137
371787085,0.53,36.0757787,136.2132966,0.5199999809265137
371887077,0.53,36.0757787,136.2132966,0.5199999809265137
371987037,0.53,36.0757787,136.2132966,0.5199999809265137
372087057,0.53,36.0757787,136.2132966,0.5199999809265137
372187037,0.53,36.0757787,136.2132966,0.5199999809265137
372287081,0.53,36.0757787,136.2132966,0.5099999904632568
372387109,0.53,36.0757787,136.2132966,0.5099999904632568
372487098,0.53,36.0757787,136.2132966,0.5099999904632568
372587037,0.53,36.0757787,136.2132966,0.5099999904632568
372687090,0.53,36.0757787,136.2132966,0.5099999904632568
372787066,0.53,36.0757787,136.2132966,0.5099999904632568
372887050,0.53,36.0757787,136.2132966,0.5099999904632568
372987072,0.53,36.0757787,136.2132966,0.5099999904632568
373087074,0.53,36.0757787,136.2132966,0.5099999904632568
373187105,0.53,36.0757787,136.2132966,0.5099999904632568
373287048,0.53,36.0757787,136.2132966,0.5099999904632568
373387089,0.53,36.0757787,136.2132966,0.5099999904632568
373487046,0.53,36.0757787,136.2132966,0.5099999904632568
373587044,0.53,36.0757787,136.2132966,0.5099999904632568
373687081,0.53,36.0757787,136.2132966,0.5099999904632568
373787073,0.53,36.0757787,136.2132966,0.5099999904632568
373887075,0.53,36.0757787,136.2132966,0.5099999904632568
373987065,0.53,36.0757787,136.2132966,0.5099999904632568
374087082,0.53,36.0757787,136.2132966,0.5099999904632568
374187116,0.53,36.0757787,136.2132966,0.5099999904632568
374287066,0.53,36.0757787,136.2132966,0.5099999904632568
374387101,0.53,36.0757787,136.2132966,0.5099999904632568
374487036,0.53,36.0757787,136.2132966,0.5099999904632568
374587022,0.53,36.0757787,136.2132966,0.5099999904632568
374687095,0.53,36.0757787,136.2132966,0.5099999904632568
374787093,0.53,36.0757787,136.2132966,0.5099999904632568
374887084,0.53,36.0757787,136.2132966,0.5099999904632568
374987109,0.53,36.0757787,136.2132966,0.5099999904632568
375087102,0.53,36.0757787,136.2132966,0.5099999904632568
375187034,0.53,36.0757787,136.2132966,0.5099999904632568
375287102,0.53,36.0757787,136.2132966,0.5099999904632568
375387003,0.53,36.0757787,136.2132966,0.5099999904632568
375467111,0.53,36.0757787,136.2132966,0.5099999904632568
375567099,0.53,36.0757787,136.2132966,0.5099999904632568
375667079,0.53,36.0757787,136.2132966,0.5099999904632568
375767028,0.53,36.0757787,136.2132966,0.5099999904632568
