TimeUS,GPS_Lat,GPS_Lng,GPS_Alt,EKF_Lat,EKF_Lng,EKF_Alt,Guided_Lat,Guided_Lng,Guided_Alt
48033224,0.0,0.0,0.0,36.0757772,136.2132941,0.4699999988079071,0.0,0.0,0.0
48050203,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48069856,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48089873,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48109817,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48130102,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48132731,0.0,0.0,0.0,36.0757772,136.2132941,0.4699999988079071,0.0,0.0,0.0
48150066,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48169861,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48189804,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48209837,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48230072,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48232719,0.0,0.0,0.0,36.0757772,136.2132941,0.4699999988079071,0.0,0.0,0.0
48250084,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48269844,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48289855,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48309810,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48330210,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48332937,0.0,0.0,0.0,36.0757772,136.2132941,0.4699999988079071,0.0,0.0,0.0
48350199,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48369851,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48389848,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48409818,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48430068,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48432875,0.0,0.0,0.0,36.0757772,136.2132941,0.4699999988079071,0.0,0.0,0.0
48450082,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48469862,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48489814,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48509860,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
48530117,36.0757769,136.2132939,0.54,0.0,0.0,0.0,0.0,0.0,0.0
